Plot No.,Quadrant,Type,Number,Species,Total GBH at Breast Height,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,First Branching (cm),Circumference of Small Plants(m) ,Remark,ID
1,Q1,Tree,1,,14.3,14.3,,,4.05,55.88,,,1
1,Q2,Tree,1,,99.8,99.8,,,13.5,335.25,,,2
1,Q3,,1,Justicia adhatoda,0.0,,,,,,6.0,,3
1,Q2,Tree,1,,57.2,50.0,,7.2,40.0,,,,4
1,Q2,Shrub,2,,0.0,,,,,,,,5
1,Q2,Sapling,2,,0.0,,,,,,,,6
1,Q2,Tree,1,Ficus racemosa,103.0,103.0,,,11.3,225.0,,,7
1,Q2,Tree,1,Pongamia pinnata,48.0,28.0,20.0,,7.1,83.0,,,8
1,Q3,Tree,1,Indian drumstick,89.5,44.0,45.5,,9.4,55.0,,Pruning done on the tree,9
1,Q3,Sapling,30,,0.0,,,,,,8.0,,10
1,Q3,Shrub,8,,0.0,,,,2.0,,,,11
1,Q4,Tree,1,Pongamia pinnata,85.0,38.0,47.0,,7.9,56.0,,,12
1,Q4,Sapling,1,Zingiber officinale,0.0,,,,,,7.7,,13
1,Q4,Shrub,2,,0.0,,,,,,,,14
2,Q1,Tree,1,Azadirachta indica,84.0,84.0,,,11.1,,,,15
2,Q1,Tree,1,Caesalpinia pulcherrima,48.0,25.0,23.0,,8.2,5.0,,Blank black dark spots,16
2,Q2,Tree,1,Hibiscus rosa-sinensis,40.0,20.0,20.0,,1.5,109.0,,,17
2,Q2,Tree,1,Hibiscus rosa-sinensis,30.0,17.0,13.0,,1.5,115.0,,,18
2,Q2,Tree,1,Hibiscus rosa-sinensis,59.0,23.0,16.0,20.0,3.0,20.0,,Dead Mushrooms,19
2,Q2,Shrub,1,Hibiscus rosa-sinensis,0.0,,,,0.76,,,,20
2,Q2,Tree,1,Hibiscus rosa-sinensis,28.0,13.0,8.0,7.0,2.6,14.0,,,21
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,2.3,,,Chil gaya hai andar se,22
2,Q3,Tree,1,Hibiscus rosa-sinensis,21.0,21.0,,,,93.0,,,23
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,2.3,78.0,,"Pruning at beach one, red ants",24
2,Q3,Tree,1,Neem,59.0,59.0,,,12.3,350.0,,Moss growing on the tree,25
2,Q3,Tree,1,Hibiscus rosa-sinensis,20.0,20.0,,,2.0,134.0,,,26
2,Q3,Tree,1,Hibiscus rosa-sinensis,52.0,17.0,21.0,14.0,2.1,86.0,,,27
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,1.5,,,,28
2,Q3,Tree,1,Hibiscus rosa-sinensis,51.0,21.0,14.0,16.0,2.5,104.0,,,29
2,Q3,Tree,1,Hibiscus rosa-sinensis,51.0,21.0,16.0,14.0,2.5,95.0,,,30
2,Q4,Tree,1,Caesalpinia pulcherrima,42.2,18.2,24.0,,7.5,20.0,,,31
2,Q4,Tree,1,Caesalpinia pulcherrima,40.0,20.0,20.0,,,9.0,,Flowering Plant,32
2,Q4,Tree,1,Caesalpinia pulcherrima,25.5,10.0,15.5,,17.2,,,Kate wala paed,33
3,Q1,Tree,1,,56.2,,,,9.0,18.0,,"Grases, weeds - various types",34
3,Q1,Climber,1,,,,,,,,,,35
3,Q1,Sapling,2,,,,,,,,,,36
3,Q2,Sapling,1,,,,,,,,,50% Plot filled with weeds and grasses,37
3,Q3,Tree,1,,180.0,50.0,70.0,60.0,10.0,68.0,,,38
3,Q3,Sapling,2,,0.0,,,,,,,,39
3,Q3,Shrub,1,,0.0,,,,,,,,40
3,Q3,Shrub,1,,0.0,,,,,,,,41
3,Q4,Tree,1,,19.0,19.0,,,6.0,,,,42
3,Q4,Shrub,2,A,0.0,,,,,,,"The branches touch the ground, unique paper flowers",43
3,Q4,Shrub,1,B,0.0,,,,,,,Long flat seed encapsulation structure,44
4,Q1,Tree,1,,170.0,51.0,71.0,48.0,7.0,10.0,,75% of the land is covered with weeds and grasses,45
4,Q2,Tree,1,,0.0,,,,,,,"80% of the land is covered with weeds and grasses, Litter, Animal Dung",46
4,Q2,Sapling,4,,0.0,,,,,,,,47
4,Q3,Shrub,3,A,0.0,,,,3.5,,,,48
4,Q3,Shrub,1,B,0.0,,,,,,,Paper Flowers,49
4,Q4,Tree,1,,220.0,64.0,81.0,75.0,11.0,50.0,,"Dead, Fungs on trunk",50
4,Q4,Shrub,1,,,,,,,,,"Shrub has spikes, curling, tip of leaves is damaged",51
4,Q4,Shrub,1,,,,,,,,,,52
