Plot No.,Quadrant,Type,Number,Species,Total GBH at Breast Height,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,First Branching (cm),Circumference of Small Plants(m) ,Remark,ID,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm
1,Q1,Tree,1,,14.3,14.3,,,4.05,55.88,,,1,4.551831372428207,,,4.551831372428207
1,Q2,Tree,1,,99.8,99.8,,,13.5,335.25,,,2,31.767326641142308,,,31.767326641142308
1,Q2,Tree,1,,57.2,50.0,,7.2,40.0,,,,4,15.915494309189533,,2.291831180523293,16.079659488492386
1,Q2,Tree,1,Ficus racemosa,103.0,103.0,,,11.3,225.0,,,7,32.78591827693044,,,32.78591827693044
1,Q2,Tree,1,Pongamia pinnata,48.0,28.0,20.0,,7.1,83.0,,,8,8.91267681314614,6.366197723675814,,10.952820706673142
1,Q3,Tree,1,Indian drumstick,89.5,44.0,45.5,,9.4,55.0,,Pruning done on the tree,9,14.00563499208679,14.483099821362476,,20.147406581669905
1,Q4,Tree,1,Pongamia pinnata,85.0,38.0,47.0,,7.9,56.0,,,12,12.095775674984045,14.960564650638162,,19.23866637387997
2,Q1,Tree,1,Azadirachta indica,84.0,84.0,,,11.1,,,,15,26.73803043943842,,,26.73803043943842
2,Q1,Tree,1,Caesalpinia pulcherrima,48.0,25.0,23.0,,8.2,5.0,,Blank black dark spots,16,7.957747154594767,7.321127382227186,,10.813170021934262
2,Q2,Tree,1,Hibiscus rosa-sinensis,40.0,20.0,20.0,,1.5,109.0,,,17,6.366197723675814,6.366197723675814,,9.003163161571061
2,Q2,Tree,1,Hibiscus rosa-sinensis,30.0,17.0,13.0,,1.5,115.0,,,18,5.411268065124442,4.138028520389279,,6.81212904371245
2,Q2,Tree,1,Hibiscus rosa-sinensis,59.0,23.0,16.0,20.0,3.0,20.0,,Dead Mushrooms,19,7.321127382227186,5.092958178940651,6.366197723675814,10.957445077031885
2,Q2,Tree,1,Hibiscus rosa-sinensis,28.0,13.0,8.0,7.0,2.6,14.0,,,21,4.138028520389279,2.5464790894703255,2.228169203286535,5.345331962295631
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,2.3,,,Chil gaya hai andar se,22,5.729577951308232,,,5.729577951308232
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,2.3,78.0,,"Pruning at beach one, red ants",24,5.729577951308232,,,5.729577951308232
2,Q3,Tree,1,Neem,59.0,59.0,,,12.3,350.0,,Moss growing on the tree,25,18.78028328484365,,,18.78028328484365
2,Q3,Tree,1,Hibiscus rosa-sinensis,20.0,20.0,,,2.0,134.0,,,26,6.366197723675814,,,6.366197723675814
2,Q3,Tree,1,Hibiscus rosa-sinensis,52.0,17.0,21.0,14.0,2.1,86.0,,,27,5.411268065124442,6.684507609859605,4.45633840657307,9.686248812249497
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,1.5,,,,28,5.729577951308232,,,5.729577951308232
2,Q3,Tree,1,Hibiscus rosa-sinensis,51.0,21.0,14.0,16.0,2.5,104.0,,,29,6.684507609859605,4.45633840657307,5.092958178940651,9.512087940752423
2,Q3,Tree,1,Hibiscus rosa-sinensis,51.0,21.0,16.0,14.0,2.5,95.0,,,30,6.684507609859605,5.092958178940651,4.45633840657307,9.512087940752423
2,Q4,Tree,1,Caesalpinia pulcherrima,42.2,18.2,24.0,,7.5,20.0,,,31,5.79323992854499,7.639437268410976,,9.587629042035081
2,Q4,Tree,1,Caesalpinia pulcherrima,25.5,10.0,15.5,,17.2,,,Kate wala paed,33,3.183098861837907,4.933803235848756,,5.871501744384092
3,Q3,Tree,1,,180.0,50.0,70.0,60.0,10.0,68.0,,,38,15.915494309189533,22.281692032865347,19.098593171027442,33.38462250895935
3,Q4,Tree,1,,19.0,19.0,,,6.0,,,,42,6.047887837492023,,,6.047887837492023
4,Q1,Tree,1,,170.0,51.0,71.0,48.0,7.0,10.0,,75% of the land is covered with weeds and grasses,45,16.233804195373324,22.600001919049138,15.278874536821952,31.744928610829977
4,Q4,Tree,1,,220.0,64.0,81.0,75.0,11.0,50.0,,"Dead, Fungs on trunk",50,20.371832715762604,25.783100780887047,23.8732414637843,40.6166408269387
