Plot No.,Quadrant,Type,Number,Species,Total GBH at Breast Height,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,First Branching (cm),Circumference of Small Plants(m) ,Remark,ID,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm,Wood_Density_g_cm3,AGB_M1_kg,Carbon_Stock_M1_kg,CO2_Eq_M1_kg,AGB_M2_kg,Carbon_Stock_M2_kg,CO2_Eq_M2_kg
1,Q1,Tree,1,,14.3,14.3,,,4.05,55.88,,,1,4.551831372428207,,,4.551831372428207,0.62,3.1845263698564024,1.8858765162289615,6.914880559506192,14.09610445238841,8.347713056704416,30.60828120791619
1,Q2,Tree,1,,99.8,99.8,,,13.5,335.25,,,2,31.767326641142308,,,31.767326641142308,0.62,457.5740390447503,270.9753459223011,993.5762683817705,1901.390475438537,1126.0034395547016,4128.679278367239
1,Q2,Tree,1,,57.2,50.0,,7.2,40.0,,,,4,15.915494309189532,,2.291831180523293,16.079659488492386,0.62,349.66511908522364,207.07168352226944,759.2628395816546,349.7766485410785,207.13773126602666,759.5050146420978
1,Q2,Tree,1,Ficus racemosa,103.0,103.0,,,11.3,225.0,,,7,32.78591827693044,,,32.78591827693044,0.48,318.6638390078343,188.7127254604395,691.9466600216115,2638.4231153092037,1562.4741688861104,5729.071952582404
1,Q2,Tree,1,Pongamia pinnata,48.0,28.0,20.0,,7.1,83.0,,,8,8.91267681314614,6.366197723675814,,10.952820706673142,0.65,32.01852775165828,18.961372134532034,69.52503115995079,127.00452238412642,75.21207815587967,275.7776199048921
1,Q3,Tree,1,Indian drumstick,89.5,44.0,45.5,,9.4,55.0,,Pruning done on the tree,9,14.00563499208679,14.483099821362476,,20.147406581669905,0.45,96.64047258058629,57.2304878622232,209.84512216148505,840.4290045911054,497.70205651885254,1824.907540569126
1,Q4,Tree,1,Pongamia pinnata,85.0,38.0,47.0,,7.9,56.0,,,12,12.095775674984043,14.960564650638162,,19.23866637387997,0.65,106.71170771018788,63.19467330597327,231.71380212190198,523.1507470644531,309.8098724115691,1135.9695321757533
2,Q1,Tree,1,Azadirachta indica,84.0,84.0,,,11.1,,,,15,26.73803043943842,,,26.73803043943842,0.58,252.99540191674234,149.8238770150948,549.3542157220143,1325.4308592990672,784.9201548769075,2878.0405678819943
2,Q1,Tree,1,Caesalpinia pulcherrima,48.0,25.0,23.0,,8.2,5.0,,Blank black dark spots,16,7.957747154594767,7.321127382227186,,10.813170021934262,0.6,33.23910507868978,19.684198027600086,72.17539276786698,132.93706060462964,78.72532729006167,288.65953339689275
2,Q2,Tree,1,Hibiscus rosa-sinensis,40.0,20.0,20.0,,1.5,109.0,,,17,6.366197723675814,6.366197723675814,,9.003163161571061,0.5,3.7072692855666527,2.195444870912572,8.04996452667943,99.80666513694206,59.105507094097085,216.72019267835597
2,Q2,Tree,1,Hibiscus rosa-sinensis,30.0,17.0,13.0,,1.5,115.0,,,18,5.411268065124442,4.138028520389279,,6.81212904371245,0.5,2.1510128870827647,1.2738298317304133,4.670709383011515,49.01540508576079,29.02692289178754,106.43205060322097
2,Q2,Tree,1,Hibiscus rosa-sinensis,59.0,23.0,16.0,20.0,3.0,20.0,,Dead Mushrooms,19,7.321127382227186,5.092958178940651,6.366197723675814,10.957445077031885,0.5,10.700219617825596,6.336670057676317,23.234456878146496,164.24481929693934,97.26578198764747,356.641200621374
2,Q2,Tree,1,Hibiscus rosa-sinensis,28.0,13.0,8.0,7.0,2.6,14.0,,,21,4.138028520389279,2.546479089470325,2.228169203286535,5.345331962295631,0.5,2.2920830750315204,1.3573715970336664,4.977029189123443,26.31256717808946,15.582302282864577,57.135108370503445
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,2.3,,,Chil gaya hai andar se,22,5.729577951308232,,,5.729577951308232,0.5,2.3286892314289718,1.3790497628522371,5.056515797124869,31.45314985171033,18.626555342182854,68.29736958800379
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,2.3,78.0,,"Pruning at beach one, red ants",24,5.729577951308232,,,5.729577951308232,0.5,2.3286892314289718,1.3790497628522371,5.056515797124869,31.45314985171033,18.626555342182854,68.29736958800379
2,Q3,Tree,1,Neem,59.0,59.0,,,12.3,350.0,,Moss growing on the tree,25,18.78028328484365,,,18.78028328484365,0.58,140.32490275711513,83.10040741276357,304.70149384679974,550.522406132068,326.01936891141065,1195.4043526751723
2,Q3,Tree,1,Hibiscus rosa-sinensis,20.0,20.0,,,2.0,134.0,,,26,6.366197723675814,,,6.366197723675814,0.5,2.495680951622707,1.477942259550967,5.419121618353546,41.21479757718624,24.40740312520969,89.49381145910219
2,Q3,Tree,1,Hibiscus rosa-sinensis,52.0,17.0,21.0,14.0,2.1,86.0,,,27,5.411268065124442,6.684507609859605,4.45633840657307,9.686248812249495,0.5,5.9384293174386205,3.5167378417871507,12.894705419886218,120.17443943020879,71.16730303056964,260.94677777875535
2,Q3,Tree,1,Hibiscus rosa-sinensis,18.0,18.0,,,1.5,,,,28,5.729577951308232,,,5.729577951308232,0.5,1.5343704846327693,0.9086542009995259,3.331732070331595,31.45314985171033,18.626555342182854,68.29736958800379
